"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7673","userCannotDepositInvalidAmountToOwnAccountTest(double, String) [1] amount=0.0, errorMessage=Invalid account or amount","","Tue Feb 03 17:41:00 UTC 2026","passed","Tue Feb 03 17:41:08 UTC 2026","","api.iteration2.DepositMoneyUserTest","api.iteration2.DepositMoneyUserTest","userCannotDepositInvalidAmountToOwnAccountTest"
"","0","userCannotTransferMoneyWithoutSelectingAccountTest()","","Tue Feb 03 17:40:45 UTC 2026","skipped","Tue Feb 03 17:40:45 UTC 2026","","ui.iteration2.TransferMoneyUserTest","ui.iteration2.TransferMoneyUserTest","userCannotTransferMoneyWithoutSelectingAccountTest"
"","1857","userCanGenerateAuthTokenTest()","","Tue Feb 03 17:40:48 UTC 2026","passed","Tue Feb 03 17:40:50 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCanGenerateAuthTokenTest"
"","2249","userCannotSetInvalidNameTest(String, String) [5] name=John  Smith, errorMessage=Name must contain two words with letters only","","Tue Feb 03 17:41:07 UTC 2026","passed","Tue Feb 03 17:41:09 UTC 2026","","api.iteration2.UpdateUserProfileNameTest","api.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","9812","userCanTransferValidAmountToOtherUserAccountTest(double) [1] amount=0.01","","Tue Feb 03 17:41:03 UTC 2026","passed","Tue Feb 03 17:41:13 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCanTransferValidAmountToOtherUserAccountTest"
"","4130","userCannotTransferToNonExistentAccountTest()","","Tue Feb 03 17:41:11 UTC 2026","passed","Tue Feb 03 17:41:15 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCannotTransferToNonExistentAccountTest"
"","1","userCannotTransferToNonExistentAccountTest()","","Tue Feb 03 17:40:45 UTC 2026","skipped","Tue Feb 03 17:40:45 UTC 2026","","ui.iteration2.TransferMoneyUserTest","ui.iteration2.TransferMoneyUserTest","userCannotTransferToNonExistentAccountTest"
"","4879","userCannotSetInvalidNameTest(String, String) [11] name=John@Smith, errorMessage=Name must contain two words with letters only","","Tue Feb 03 17:40:58 UTC 2026","passed","Tue Feb 03 17:41:03 UTC 2026","","api.iteration2.UpdateUserProfileNameTest","api.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","5868","userCanTransferValidAmountToOwnAccountTest(double) [1] amount=0.01","","Tue Feb 03 17:41:12 UTC 2026","passed","Tue Feb 03 17:41:18 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCanTransferValidAmountToOwnAccountTest"
"","4010","userCannotSetInvalidNameTest(String, String) [1] name=John, errorMessage=Name must contain two words with letters only","","Tue Feb 03 17:40:58 UTC 2026","passed","Tue Feb 03 17:41:02 UTC 2026","","api.iteration2.UpdateUserProfileNameTest","api.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","8236","userCannotSetInvalidNameTest(String, BankAlert) [2] name=, alert=NAME_VALID_ERROR","","Tue Feb 03 17:41:04 UTC 2026","passed","Tue Feb 03 17:41:12 UTC 2026","","ui.iteration2.UpdateUserProfileNameTest","ui.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","14275","userCannotDepositMoneyWithoutSelectingAccountTest()","","Tue Feb 03 17:40:45 UTC 2026","passed","Tue Feb 03 17:41:00 UTC 2026","","ui.iteration2.DepositMoneyUserTest","ui.iteration2.DepositMoneyUserTest","userCannotDepositMoneyWithoutSelectingAccountTest"
"","4913","userCannotDepositInvalidAmountToOwnAccountTest(double, String) [3] amount=-649519.14, errorMessage=Invalid account or amount","","Tue Feb 03 17:41:07 UTC 2026","passed","Tue Feb 03 17:41:12 UTC 2026","","api.iteration2.DepositMoneyUserTest","api.iteration2.DepositMoneyUserTest","userCannotDepositInvalidAmountToOwnAccountTest"
"","10252","userCannotDepositInvalidAmountTest(double, BankAlert) [1] depositAmount=-641242.75, alert=VALID_DEPOSIT_ERROR","","Tue Feb 03 17:40:58 UTC 2026","passed","Tue Feb 03 17:41:09 UTC 2026","","ui.iteration2.DepositMoneyUserTest","ui.iteration2.DepositMoneyUserTest","userCannotDepositInvalidAmountTest"
