"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12082","userCannotTransferInValidAmountTest(double, String) [3] amount=-746994.01, errorMessage=Invalid transfer: insufficient funds or invalid accounts","","Mon Feb 09 09:05:39 UTC 2026","passed","Mon Feb 09 09:05:51 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCannotTransferInValidAmountTest"
"","4173","userCannotSetInvalidNameTest(String, String) [4] name=    , errorMessage=Name must contain two words with letters only","","Mon Feb 09 09:05:38 UTC 2026","passed","Mon Feb 09 09:05:43 UTC 2026","","api.iteration2.UpdateUserProfileNameTest","api.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","0","userCannotTransferMoneyWithoutConfirmTest()","","Mon Feb 09 09:05:24 UTC 2026","skipped","Mon Feb 09 09:05:24 UTC 2026","","ui.iteration2.TransferMoneyUserTest","ui.iteration2.TransferMoneyUserTest","userCannotTransferMoneyWithoutConfirmTest"
"","4356","userCannotSetInvalidNameTest(String, String) [5] name=John  Smith, errorMessage=Name must contain two words with letters only","","Mon Feb 09 09:05:41 UTC 2026","passed","Mon Feb 09 09:05:45 UTC 2026","","api.iteration2.UpdateUserProfileNameTest","api.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","3030","adminCanGenerateAuthTokenTest()","","Mon Feb 09 09:05:24 UTC 2026","passed","Mon Feb 09 09:05:27 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","adminCanGenerateAuthTokenTest"
"","3623","userCannotSetInvalidNameTest(String, String) [10] name=John 123, errorMessage=Name must contain two words with letters only","","Mon Feb 09 09:05:41 UTC 2026","passed","Mon Feb 09 09:05:44 UTC 2026","","api.iteration2.UpdateUserProfileNameTest","api.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","5943","userCanDepositValidAmountTest()","","Mon Feb 09 09:05:52 UTC 2026","passed","Mon Feb 09 09:05:58 UTC 2026","","ui.iteration2.DepositMoneyUserTest","ui.iteration2.DepositMoneyUserTest","userCanDepositValidAmountTest"
"","964","adminCanCreateUserWithValidDataTest()","","Mon Feb 09 09:05:31 UTC 2026","passed","Mon Feb 09 09:05:31 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCanCreateUserWithValidDataTest"
"","0","userCanTransferValidAmountTest()","","Mon Feb 09 09:05:24 UTC 2026","skipped","Mon Feb 09 09:05:24 UTC 2026","","ui.iteration2.TransferMoneyUserTest","ui.iteration2.TransferMoneyUserTest","userCanTransferValidAmountTest"
"","0","userCannotTransferSameAccountTest()","","Mon Feb 09 09:05:40 UTC 2026","skipped","Mon Feb 09 09:05:40 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCannotTransferSameAccountTest"
"","0","userCanTransferAgainTest()","","Mon Feb 09 09:05:24 UTC 2026","skipped","Mon Feb 09 09:05:24 UTC 2026","","ui.iteration2.TransferMoneyUserTest","ui.iteration2.TransferMoneyUserTest","userCanTransferAgainTest"
"","10295","userCannotDepositInvalidAmountTest(double, BankAlert) [1] depositAmount=-497554.49, alert=VALID_DEPOSIT_ERROR","","Mon Feb 09 09:05:35 UTC 2026","passed","Mon Feb 09 09:05:46 UTC 2026","","ui.iteration2.DepositMoneyUserTest","ui.iteration2.DepositMoneyUserTest","userCannotDepositInvalidAmountTest"
"","11548","userCannotDepositMoneyWithoutSelectingAccountTest()","","Mon Feb 09 09:05:24 UTC 2026","passed","Mon Feb 09 09:05:35 UTC 2026","","ui.iteration2.DepositMoneyUserTest","ui.iteration2.DepositMoneyUserTest","userCannotDepositMoneyWithoutSelectingAccountTest"
"","10980","userCannotSetInvalidNameTest(String, String) [7] name=John Smith , errorMessage=Name must contain two words with letters only","","Mon Feb 09 09:05:24 UTC 2026","passed","Mon Feb 09 09:05:35 UTC 2026","","api.iteration2.UpdateUserProfileNameTest","api.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","6079","userCannotTransferToNonExistentAccountTest()","","Mon Feb 09 09:05:44 UTC 2026","passed","Mon Feb 09 09:05:51 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCannotTransferToNonExistentAccountTest"
"","5566","userCanTransferValidAmountToOtherUserAccountTest(double) [3] amount=748.42","","Mon Feb 09 09:05:51 UTC 2026","passed","Mon Feb 09 09:05:57 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCanTransferValidAmountToOtherUserAccountTest"
"","1","userCannotTransferMoneyWithoutSelectingAccountTest()","","Mon Feb 09 09:05:24 UTC 2026","skipped","Mon Feb 09 09:05:24 UTC 2026","","ui.iteration2.TransferMoneyUserTest","ui.iteration2.TransferMoneyUserTest","userCannotTransferMoneyWithoutSelectingAccountTest"
"","5596","userCanTransferValidAmountToOwnAccountTest(double) [1] amount=0.01","","Mon Feb 09 09:05:51 UTC 2026","passed","Mon Feb 09 09:05:57 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCanTransferValidAmountToOwnAccountTest"
"","4077","userCannotSetInvalidNameTest(String, String) [12] name=John, Smith, errorMessage=Name must contain two words with letters only","","Mon Feb 09 09:05:47 UTC 2026","passed","Mon Feb 09 09:05:51 UTC 2026","","api.iteration2.UpdateUserProfileNameTest","api.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","10222","userCannotSetInvalidNameTest(String, BankAlert) [1] name=John, alert=NAME_REQUIREMENTS_ERROR","","Mon Feb 09 09:05:41 UTC 2026","passed","Mon Feb 09 09:05:52 UTC 2026","","ui.iteration2.UpdateUserProfileNameTest","ui.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","7877","userCannotDepositInvalidAmountTest(double, BankAlert) [2] depositAmount=531618.2, alert=LESS_DEPOSIT_ERROR","","Mon Feb 09 09:05:46 UTC 2026","passed","Mon Feb 09 09:05:54 UTC 2026","","ui.iteration2.DepositMoneyUserTest","ui.iteration2.DepositMoneyUserTest","userCannotDepositInvalidAmountTest"
"","5311","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [1] username= , password=Password33$, role=USER, errorKey=username, errorValues=[Username cannot be blank, Username must contain only letters, digits, dashes, underscores, and dots, Username must be between 3 and 15 characters]","","Mon Feb 09 09:05:24 UTC 2026","passed","Mon Feb 09 09:05:29 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","5942","userCannotTransferInValidAmountTest(double, String) [1] amount=0.0, errorMessage=Invalid transfer: insufficient funds or invalid accounts","","Mon Feb 09 09:05:51 UTC 2026","passed","Mon Feb 09 09:05:57 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCannotTransferInValidAmountTest"
"","5540","userCannotDepositInvalidAmountToOwnAccountTest(double, String) [1] amount=0.0, errorMessage=Invalid account or amount","","Mon Feb 09 09:05:37 UTC 2026","passed","Mon Feb 09 09:05:43 UTC 2026","","api.iteration2.DepositMoneyUserTest","api.iteration2.DepositMoneyUserTest","userCannotDepositInvalidAmountToOwnAccountTest"
"","2736","userCanGenerateAuthTokenTest()","","Mon Feb 09 09:05:25 UTC 2026","passed","Mon Feb 09 09:05:28 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCanGenerateAuthTokenTest"
"","0","userCannotTransferToNonExistentAccountTest()","","Mon Feb 09 09:05:24 UTC 2026","skipped","Mon Feb 09 09:05:24 UTC 2026","","ui.iteration2.TransferMoneyUserTest","ui.iteration2.TransferMoneyUserTest","userCannotTransferToNonExistentAccountTest"
"","13586","userCanUpdateNameWithValidDataTest()","","Mon Feb 09 09:05:28 UTC 2026","passed","Mon Feb 09 09:05:41 UTC 2026","","ui.iteration2.UpdateUserProfileNameTest","ui.iteration2.UpdateUserProfileNameTest","userCanUpdateNameWithValidDataTest"
"","3662","userCannotSetInvalidNameTest(String, String) [1] name=John, errorMessage=Name must contain two words with letters only","","Mon Feb 09 09:05:35 UTC 2026","passed","Mon Feb 09 09:05:38 UTC 2026","","api.iteration2.UpdateUserProfileNameTest","api.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","3762","userCannotSetInvalidNameTest(String, String) [13] name=@John Smith, errorMessage=Name must contain two words with letters only","","Mon Feb 09 09:05:47 UTC 2026","passed","Mon Feb 09 09:05:51 UTC 2026","","api.iteration2.UpdateUserProfileNameTest","api.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","8328","adminCannotCreateUserWithInvalidDataTest()","","Mon Feb 09 09:05:24 UTC 2026","passed","Mon Feb 09 09:05:32 UTC 2026","","ui.iteration1.CreateUserTest","ui.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","5932","userCannotTransferMoreThanBalanceTest()","","Mon Feb 09 09:05:51 UTC 2026","passed","Mon Feb 09 09:05:56 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCannotTransferMoreThanBalanceTest"
"","11207","userCanDepositValidAmountToOwnAccountTest(double) [2] amount=5000.0","","Mon Feb 09 09:05:28 UTC 2026","passed","Mon Feb 09 09:05:39 UTC 2026","","api.iteration2.DepositMoneyUserTest","api.iteration2.DepositMoneyUserTest","userCanDepositValidAmountToOwnAccountTest"
