"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12234","userCannotDepositMoneyWithoutSelectingAccountTest()","","Thu Feb 05 22:31:18 UTC 2026","passed","Thu Feb 05 22:31:30 UTC 2026","","ui.iteration2.DepositMoneyUserTest","ui.iteration2.DepositMoneyUserTest","userCannotDepositMoneyWithoutSelectingAccountTest"
"","3111","adminCanGenerateAuthTokenTest()","","Thu Feb 05 22:31:18 UTC 2026","passed","Thu Feb 05 22:31:21 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","adminCanGenerateAuthTokenTest"
"","6804","userCannotTransferMoreThanBalanceTest()","","Thu Feb 05 22:31:44 UTC 2026","passed","Thu Feb 05 22:31:51 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCannotTransferMoreThanBalanceTest"
"","4","userCannotTransferInvalidAmountTest(double, BankAlert, int)","","Thu Feb 05 22:31:18 UTC 2026","skipped","Thu Feb 05 22:31:18 UTC 2026","","ui.iteration2.TransferMoneyUserTest","ui.iteration2.TransferMoneyUserTest","userCannotTransferInvalidAmountTest"
"","4426","userCannotSetInvalidNameTest(String, String) [4] name=    , errorMessage=Name must contain two words with letters only","","Thu Feb 05 22:31:38 UTC 2026","passed","Thu Feb 05 22:31:42 UTC 2026","","api.iteration2.UpdateUserProfileNameTest","api.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","8533","userCannotSetInvalidNameTest(String, BankAlert) [2] name=, alert=NAME_VALID_ERROR","","Thu Feb 05 22:31:39 UTC 2026","passed","Thu Feb 05 22:31:48 UTC 2026","","ui.iteration2.UpdateUserProfileNameTest","ui.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","3511","userCannotSetInvalidNameTest(String, String) [13] name=@John Smith, errorMessage=Name must contain two words with letters only","","Thu Feb 05 22:31:45 UTC 2026","passed","Thu Feb 05 22:31:48 UTC 2026","","api.iteration2.UpdateUserProfileNameTest","api.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","3787","userCannotSetInvalidNameTest(String, String) [8] name=John! Smith, errorMessage=Name must contain two words with letters only","","Thu Feb 05 22:31:42 UTC 2026","passed","Thu Feb 05 22:31:46 UTC 2026","","api.iteration2.UpdateUserProfileNameTest","api.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","2359","adminCanCreateUserWithValidDataTest()","","Thu Feb 05 22:31:25 UTC 2026","passed","Thu Feb 05 22:31:28 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCanCreateUserWithValidDataTest"
"","5255","userCanTransferValidAmountToOwnAccountTest(double) [2] amount=10000.0","","Thu Feb 05 22:31:47 UTC 2026","passed","Thu Feb 05 22:31:52 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCanTransferValidAmountToOwnAccountTest"
"","11457","userCanUpdateValidNameTest()","","Thu Feb 05 22:31:19 UTC 2026","passed","Thu Feb 05 22:31:30 UTC 2026","","api.iteration2.UpdateUserProfileNameTest","api.iteration2.UpdateUserProfileNameTest","userCanUpdateValidNameTest"
"","13820","userCanDepositValidAmountTest()","","Thu Feb 05 22:31:19 UTC 2026","passed","Thu Feb 05 22:31:33 UTC 2026","","ui.iteration2.DepositMoneyUserTest","ui.iteration2.DepositMoneyUserTest","userCanDepositValidAmountTest"
"","7855","userCanSetValidNameTest()","","Thu Feb 05 22:31:26 UTC 2026","passed","Thu Feb 05 22:31:33 UTC 2026","","api.iteration2.UpdateUserProfileNameTest","api.iteration2.UpdateUserProfileNameTest","userCanSetValidNameTest"
"","5311","userCanTransferValidAmountToOwnAccountTest(double) [3] amount=1980.68","","Thu Feb 05 22:31:47 UTC 2026","passed","Thu Feb 05 22:31:52 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCanTransferValidAmountToOwnAccountTest"
"","8990","userCanTransferValidAmountToOtherUserAccountTest(double) [2] amount=10000.0","","Thu Feb 05 22:31:42 UTC 2026","passed","Thu Feb 05 22:31:51 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCanTransferValidAmountToOtherUserAccountTest"
"","6424","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [1] username= , password=Password33$, role=USER, errorKey=username, errorValues=[Username cannot be blank, Username must contain only letters, digits, dashes, underscores, and dots, Username must be between 3 and 15 characters]","","Thu Feb 05 22:31:18 UTC 2026","passed","Thu Feb 05 22:31:24 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","10930","userCanDepositValidAmountToOwnAccountTest(double) [1] amount=0.01","","Thu Feb 05 22:31:21 UTC 2026","passed","Thu Feb 05 22:31:32 UTC 2026","","api.iteration2.DepositMoneyUserTest","api.iteration2.DepositMoneyUserTest","userCanDepositValidAmountToOwnAccountTest"
"","13417","adminCanCreateUserTest()","","Thu Feb 05 22:31:26 UTC 2026","passed","Thu Feb 05 22:31:39 UTC 2026","","ui.iteration1.CreateUserTest","ui.iteration1.CreateUserTest","adminCanCreateUserTest"
"","8221","userCannotDepositToNonExistentAccountTest()","","Thu Feb 05 22:31:26 UTC 2026","passed","Thu Feb 05 22:31:34 UTC 2026","","api.iteration2.DepositMoneyUserTest","api.iteration2.DepositMoneyUserTest","userCannotDepositToNonExistentAccountTest"
"","5523","userCanDepositValidAmountToOwnAccountTest(double) [2] amount=5000.0","","Thu Feb 05 22:31:38 UTC 2026","passed","Thu Feb 05 22:31:44 UTC 2026","","api.iteration2.DepositMoneyUserTest","api.iteration2.DepositMoneyUserTest","userCanDepositValidAmountToOwnAccountTest"
"","17603","userCannotTransferInValidAmountTest(double, String) [4] amount=202043.04, errorMessage=Transfer amount cannot exceed 10000","","Thu Feb 05 22:31:18 UTC 2026","passed","Thu Feb 05 22:31:36 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCannotTransferInValidAmountTest"
"","6","testTransferWithFraudCheck()","","Thu Feb 05 22:31:18 UTC 2026","skipped","Thu Feb 05 22:31:18 UTC 2026","","api.iteration2.TransferWithFraudCheckTest","api.iteration2.TransferWithFraudCheckTest","testTransferWithFraudCheck"
"","10884","userCannotSetInvalidNameTest(String, String) [7] name=John Smith , errorMessage=Name must contain two words with letters only","","Thu Feb 05 22:31:18 UTC 2026","passed","Thu Feb 05 22:31:29 UTC 2026","","api.iteration2.UpdateUserProfileNameTest","api.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","0","userCanTransferAgainTest()","","Thu Feb 05 22:31:18 UTC 2026","skipped","Thu Feb 05 22:31:18 UTC 2026","","ui.iteration2.TransferMoneyUserTest","ui.iteration2.TransferMoneyUserTest","userCanTransferAgainTest"
"","13866","userCanCreateAccountTest()","","Thu Feb 05 22:31:28 UTC 2026","passed","Thu Feb 05 22:31:42 UTC 2026","","ui.iteration1.CreateAccountTest","ui.iteration1.CreateAccountTest","userCanCreateAccountTest"
"","12322","userCannotDepositInvalidAmountTest(double, BankAlert) [1] depositAmount=-540621.6, alert=VALID_DEPOSIT_ERROR","","Thu Feb 05 22:31:30 UTC 2026","passed","Thu Feb 05 22:31:43 UTC 2026","","ui.iteration2.DepositMoneyUserTest","ui.iteration2.DepositMoneyUserTest","userCannotDepositInvalidAmountTest"
"","15384","userCanUpdateNameWithValidDataTest()","","Thu Feb 05 22:31:24 UTC 2026","passed","Thu Feb 05 22:31:39 UTC 2026","","ui.iteration2.UpdateUserProfileNameTest","ui.iteration2.UpdateUserProfileNameTest","userCanUpdateNameWithValidDataTest"
"","5499","userCannotDepositInvalidAmountToOwnAccountTest(double, String) [4] amount=707070.46, errorMessage=Deposit amount exceeds the 5000 limit","","Thu Feb 05 22:31:41 UTC 2026","passed","Thu Feb 05 22:31:47 UTC 2026","","api.iteration2.DepositMoneyUserTest","api.iteration2.DepositMoneyUserTest","userCannotDepositInvalidAmountToOwnAccountTest"
"","7292","userCannotTransferToNonExistentAccountTest()","","Thu Feb 05 22:31:39 UTC 2026","passed","Thu Feb 05 22:31:47 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCannotTransferToNonExistentAccountTest"
"","763","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [2] username=dfgdfg, password=h, role=USER, errorKey=password, errorValues=[Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long]","","Thu Feb 05 22:31:24 UTC 2026","passed","Thu Feb 05 22:31:25 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","13359","userCannotDepositToAnotherUserAccountTest()","","Thu Feb 05 22:31:18 UTC 2026","passed","Thu Feb 05 22:31:31 UTC 2026","","api.iteration2.DepositMoneyUserTest","api.iteration2.DepositMoneyUserTest","userCannotDepositToAnotherUserAccountTest"
"","6437","userCanCreateAccountTest()","","Thu Feb 05 22:31:18 UTC 2026","passed","Thu Feb 05 22:31:24 UTC 2026","","api.iteration1.CreateAccountTest","api.iteration1.CreateAccountTest","userCanCreateAccountTest"
"","5432","userCannotDepositInvalidAmountToOwnAccountTest(double, String) [3] amount=-337105.09, errorMessage=Invalid account or amount","","Thu Feb 05 22:31:40 UTC 2026","passed","Thu Feb 05 22:31:46 UTC 2026","","api.iteration2.DepositMoneyUserTest","api.iteration2.DepositMoneyUserTest","userCannotDepositInvalidAmountToOwnAccountTest"
"","6530","userCannotTransferInValidAmountTest(double, String) [2] amount=10000.01, errorMessage=Transfer amount cannot exceed 10000","","Thu Feb 05 22:31:46 UTC 2026","passed","Thu Feb 05 22:31:52 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCannotTransferInValidAmountTest"
"","13762","userCannotTransferInValidAmountTest(double, String) [3] amount=-459179.22, errorMessage=Invalid transfer: insufficient funds or invalid accounts","","Thu Feb 05 22:31:36 UTC 2026","passed","Thu Feb 05 22:31:49 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCannotTransferInValidAmountTest"
"","8020","userCanDepositValidAmountToOwnAccountTest(double) [3] amount=188.9","","Thu Feb 05 22:31:32 UTC 2026","passed","Thu Feb 05 22:31:40 UTC 2026","","api.iteration2.DepositMoneyUserTest","api.iteration2.DepositMoneyUserTest","userCanDepositValidAmountToOwnAccountTest"
"","5446","userCannotSetInvalidNameTest(String, String) [3] name=, errorMessage=Name must contain two words with letters only","","Thu Feb 05 22:31:34 UTC 2026","passed","Thu Feb 05 22:31:40 UTC 2026","","api.iteration2.UpdateUserProfileNameTest","api.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","0","userCannotTransferMoneyWithoutConfirmTest()","","Thu Feb 05 22:31:18 UTC 2026","skipped","Thu Feb 05 22:31:18 UTC 2026","","ui.iteration2.TransferMoneyUserTest","ui.iteration2.TransferMoneyUserTest","userCannotTransferMoneyWithoutConfirmTest"
"","2443","userCanGenerateAuthTokenTest()","","Thu Feb 05 22:31:21 UTC 2026","passed","Thu Feb 05 22:31:24 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","userCanGenerateAuthTokenTest"
"","1","userCannotTransferSameAccountTest()","","Thu Feb 05 22:31:36 UTC 2026","skipped","Thu Feb 05 22:31:36 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCannotTransferSameAccountTest"
"","3305","userCannotSetInvalidNameTest(String, String) [12] name=John, Smith, errorMessage=Name must contain two words with letters only","","Thu Feb 05 22:31:43 UTC 2026","passed","Thu Feb 05 22:31:47 UTC 2026","","api.iteration2.UpdateUserProfileNameTest","api.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","4041","userCannotSetInvalidNameTest(String, String) [5] name=John  Smith, errorMessage=Name must contain two words with letters only","","Thu Feb 05 22:31:40 UTC 2026","passed","Thu Feb 05 22:31:44 UTC 2026","","api.iteration2.UpdateUserProfileNameTest","api.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","6737","userCannotSetInvalidNameTest(String, String) [10] name=John 123, errorMessage=Name must contain two words with letters only","","Thu Feb 05 22:31:29 UTC 2026","passed","Thu Feb 05 22:31:36 UTC 2026","","api.iteration2.UpdateUserProfileNameTest","api.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","5877","userCanTransferValidAmountToOtherUserAccountTest(double) [3] amount=4820.92","","Thu Feb 05 22:31:47 UTC 2026","passed","Thu Feb 05 22:31:52 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCanTransferValidAmountToOtherUserAccountTest"
"","0","userCannotTransferMoneyWithoutSelectingAccountTest()","","Thu Feb 05 22:31:18 UTC 2026","skipped","Thu Feb 05 22:31:18 UTC 2026","","ui.iteration2.TransferMoneyUserTest","ui.iteration2.TransferMoneyUserTest","userCannotTransferMoneyWithoutSelectingAccountTest"
"","11092","userCannotDepositInvalidAmountTest(double, BankAlert) [2] depositAmount=29104.13, alert=LESS_DEPOSIT_ERROR","","Thu Feb 05 22:31:33 UTC 2026","passed","Thu Feb 05 22:31:44 UTC 2026","","ui.iteration2.DepositMoneyUserTest","ui.iteration2.DepositMoneyUserTest","userCannotDepositInvalidAmountTest"
"","6215","userCannotSetInvalidNameTest(String, BankAlert) [1] name=John, alert=NAME_REQUIREMENTS_ERROR","","Thu Feb 05 22:31:47 UTC 2026","passed","Thu Feb 05 22:31:53 UTC 2026","","ui.iteration2.UpdateUserProfileNameTest","ui.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","7778","adminCannotCreateUserWithInvalidDataTest()","","Thu Feb 05 22:31:18 UTC 2026","passed","Thu Feb 05 22:31:26 UTC 2026","","ui.iteration1.CreateUserTest","ui.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
