"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6508","adminCannotCreateUserWithInvalidDataTest(String, String, String, String, List) [1] username= , password=Password33$, role=USER, errorKey=username, errorValues=[Username cannot be blank, Username must contain only letters, digits, dashes, underscores, and dots, Username must be between 3 and 15 characters]","","Tue Feb 03 18:44:16 UTC 2026","passed","Tue Feb 03 18:44:23 UTC 2026","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","6949","userCanTransferValidAmountToOwnAccountTest(double) [1] amount=0.01","","Tue Feb 03 18:44:44 UTC 2026","passed","Tue Feb 03 18:44:51 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCanTransferValidAmountToOwnAccountTest"
"","4255","userCannotSetInvalidNameTest(String, String) [3] name=, errorMessage=Name must contain two words with letters only","","Tue Feb 03 18:44:35 UTC 2026","passed","Tue Feb 03 18:44:39 UTC 2026","","api.iteration2.UpdateUserProfileNameTest","api.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","12051","userCannotDepositInvalidAmountTest(double, BankAlert) [2] depositAmount=128816.66, alert=LESS_DEPOSIT_ERROR","","Tue Feb 03 18:44:32 UTC 2026","passed","Tue Feb 03 18:44:44 UTC 2026","","ui.iteration2.DepositMoneyUserTest","ui.iteration2.DepositMoneyUserTest","userCannotDepositInvalidAmountTest"
"","5708","userCanDepositValidAmountToOwnAccountTest(double) [2] amount=5000.0","","Tue Feb 03 18:44:40 UTC 2026","passed","Tue Feb 03 18:44:46 UTC 2026","","api.iteration2.DepositMoneyUserTest","api.iteration2.DepositMoneyUserTest","userCanDepositValidAmountToOwnAccountTest"
"","12141","userCanDepositValidAmountTest()","","Tue Feb 03 18:44:18 UTC 2026","passed","Tue Feb 03 18:44:30 UTC 2026","","ui.iteration2.DepositMoneyUserTest","ui.iteration2.DepositMoneyUserTest","userCanDepositValidAmountTest"
"","7258","userCannotDepositToNonExistentAccountTest()","","Tue Feb 03 18:44:25 UTC 2026","passed","Tue Feb 03 18:44:32 UTC 2026","","api.iteration2.DepositMoneyUserTest","api.iteration2.DepositMoneyUserTest","userCannotDepositToNonExistentAccountTest"
"","1","testTransferWithFraudCheck()","","Tue Feb 03 18:44:16 UTC 2026","skipped","Tue Feb 03 18:44:16 UTC 2026","","api.iteration2.TransferWithFraudCheckTest","api.iteration2.TransferWithFraudCheckTest","testTransferWithFraudCheck"
"","7678","userCannotTransferMoreThanBalanceTest()","","Tue Feb 03 18:44:44 UTC 2026","passed","Tue Feb 03 18:44:52 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCannotTransferMoreThanBalanceTest"
"","4677","userCannotSetInvalidNameTest(String, String) [1] name=John, errorMessage=Name must contain two words with letters only","","Tue Feb 03 18:44:30 UTC 2026","passed","Tue Feb 03 18:44:35 UTC 2026","","api.iteration2.UpdateUserProfileNameTest","api.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","12164","userCanTransferValidAmountToOtherUserAccountTest(double) [1] amount=0.01","","Tue Feb 03 18:44:35 UTC 2026","passed","Tue Feb 03 18:44:47 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCanTransferValidAmountToOtherUserAccountTest"
"","2862","userCannotSetInvalidNameTest(String, String) [9] name=John Sm1th, errorMessage=Name must contain two words with letters only","","Tue Feb 03 18:44:45 UTC 2026","passed","Tue Feb 03 18:44:48 UTC 2026","","api.iteration2.UpdateUserProfileNameTest","api.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","5667","userCanTransferValidAmountToOwnAccountTest(double) [2] amount=10000.0","","Tue Feb 03 18:44:47 UTC 2026","passed","Tue Feb 03 18:44:52 UTC 2026","","api.iteration2.TransferMoneyUserTest","api.iteration2.TransferMoneyUserTest","userCanTransferValidAmountToOwnAccountTest"
"","3971","userCannotSetInvalidNameTest(String, String) [4] name=    , errorMessage=Name must contain two words with letters only","","Tue Feb 03 18:44:38 UTC 2026","passed","Tue Feb 03 18:44:42 UTC 2026","","api.iteration2.UpdateUserProfileNameTest","api.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","4984","userCannotDepositInvalidAmountToOwnAccountTest(double, String) [3] amount=-831246.99, errorMessage=Invalid account or amount","","Tue Feb 03 18:44:39 UTC 2026","passed","Tue Feb 03 18:44:44 UTC 2026","","api.iteration2.DepositMoneyUserTest","api.iteration2.DepositMoneyUserTest","userCannotDepositInvalidAmountToOwnAccountTest"
"","13578","userCanCreateAccountTest()","","Tue Feb 03 18:44:26 UTC 2026","passed","Tue Feb 03 18:44:40 UTC 2026","","ui.iteration1.CreateAccountTest","ui.iteration1.CreateAccountTest","userCanCreateAccountTest"
"","3816","userCannotSetInvalidNameTest(String, String) [10] name=John 123, errorMessage=Name must contain two words with letters only","","Tue Feb 03 18:44:30 UTC 2026","passed","Tue Feb 03 18:44:33 UTC 2026","","api.iteration2.UpdateUserProfileNameTest","api.iteration2.UpdateUserProfileNameTest","userCannotSetInvalidNameTest"
"","5837","userCannotDepositInvalidAmountToOwnAccountTest(double, String) [2] amount=5000.01, errorMessage=Deposit amount exceeds the 5000 limit","","Tue Feb 03 18:44:33 UTC 2026","passed","Tue Feb 03 18:44:39 UTC 2026","","api.iteration2.DepositMoneyUserTest","api.iteration2.DepositMoneyUserTest","userCannotDepositInvalidAmountToOwnAccountTest"
"","3222","adminCanGenerateAuthTokenTest()","","Tue Feb 03 18:44:16 UTC 2026","passed","Tue Feb 03 18:44:19 UTC 2026","","api.iteration1.LoginUserTest","api.iteration1.LoginUserTest","adminCanGenerateAuthTokenTest"
"","15589","userCannotDepositMoneyWithoutSelectingAccountTest()","","Tue Feb 03 18:44:16 UTC 2026","passed","Tue Feb 03 18:44:32 UTC 2026","","ui.iteration2.DepositMoneyUserTest","ui.iteration2.DepositMoneyUserTest","userCannotDepositMoneyWithoutSelectingAccountTest"
"","6599","userCanLoginWithCorrectDataTest()","","Tue Feb 03 18:44:28 UTC 2026","passed","Tue Feb 03 18:44:35 UTC 2026","","ui.iteration1.LoginUserTest","ui.iteration1.LoginUserTest","userCanLoginWithCorrectDataTest"
